agent_id,tick,from_stance,to_stance,utterance,n_heard,ref_others
2024GQ0118602_1,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I think they're onto something — switching back and forth twice a year just seems like more hassle than it's worth, so I'd rather we just pick standard time and stick with it.",3,False
2024HU0017836_1,2,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I've kept a 7 a.m. rise for years, and standard time just aligns with how the body naturally wants to work — no sense disrupting a system that's held up fine for generations.",3,False
2024HU0017836_1,3,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I side with sticking to the current system — it's worked for generations, and I see no compelling reason to disrupt an established practice just to chase some theoretical benefit.",3,False
2024HU0027257_2,3,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I keep a steady routine up by 9 and at the desk by 10, so I don't want mornings shoved into darkness longer than they need to be — sticking with standard time year-round just keeps things predictable, and predictable is what works.",3,False
2024HU0099577_1,1,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","Adopt permanent daylight saving time (clocks stay on summer time all year: later sunrises, later sunsets)","I hear where y'all are coming from about mornings, but honestly with my sleep schedule the way it is, I'd love more light in the evenings — either way, I just wish we'd all agree to stop the twice-a-year shuffle and settle into something steady.",3,True
2024HU0099577_1,2,"Adopt permanent daylight saving time (clocks stay on summer time all year: later sunrises, later sunsets)","Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I really agree with what everyone's saying here — steady standard time just seems kinder to our bodies and easier on families, kids at bus stops, and folks whose sleep already struggles. No need to keep putting everyone through that twice-a-year upheaval when we can just settle into one steady rhythm.",4,True
2024HU0153965_1,2,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I'm with the folks saying stick to standard time — it just keeps things steady and in line with how we're naturally wired, no sense flipping the clocks around twice a year for nothing.",3,True
2024HU0180250_2,2,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I'm up at the same time every day rain or shine, so the switch don't bother me much—it's just how it's always been, and I don't see a good enough reason to go tearing up a tradition that's worked fine this long.",3,False
2024HU0180250_2,4,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","Being up before dawn for work, I like the sun coming up early rather than late - standard time just fits the rhythm the Lord set for us, and it'd be one less thing to throw folks off twice a year.",3,False
2024HU0274798_2,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I hear both sides, but honestly, if we're gonna change anything, I'd lean toward locking in standard time — my body runs on that early sunrise, and I don't need one more disruption in a week that's already packed wall-to-wall with work.",3,True
